Chart,Sport,League,Division,Conference,School
Sports,Basketball,NCAA,Division I,Sun Belt,Georgia Southern University
Sports,Basketball,NCAA,Division I,Sun Belt,Georgia State University
Sports,Basketball,NCAA,Division I,Sun Belt,James Madison University (JMU)
Sports,Basketball,NCAA,Division I,Sun Belt,University of Louisiana at Lafayette (Louisiana)
Sports,Basketball,NCAA,Division I,Sun Belt,University of Louisiana at Monroe (Louisiana–Monroe or ULM)
Sports,Basketball,NCAA,Division I,Sun Belt,Marshall University
Sports,Basketball,NCAA,Division I,Sun Belt,Old Dominion University
Sports,Basketball,NCAA,Division I,Sun Belt,University of South Alabama
Sports,Basketball,NCAA,Division I,Sun Belt,University of Southern Mississippi (Southern Miss)
Sports,Basketball,NCAA,Division I,Sun Belt,Texas State University
Sports,Basketball,NCAA,Division I,Sun Belt,Troy University
Sports,Basketball,NCAA,Division I,SWAC,Alabama Agricultural and Mechanical University (Alabama A&M)
Sports,Basketball,NCAA,Division I,SWAC,Alabama State University
Sports,Basketball,NCAA,Division I,SWAC,Alcorn State University
Sports,Basketball,NCAA,Division I,SWAC,"University of Arkansas at Pine Bluff (Arkansas–Pine Bluff, UAPB)"
Sports,Basketball,NCAA,Division I,SWAC,Bethune–Cookman University
Sports,Basketball,NCAA,Division I,SWAC,"Florida Agricultural and Mechanical University (Florida A&M, FAMU)"
Sports,Basketball,NCAA,Division I,SWAC,Grambling State University
Sports,Basketball,NCAA,Division I,SWAC,Jackson State University
Sports,Basketball,NCAA,Division I,SWAC,Mississippi Valley State University
Sports,Basketball,NCAA,Division I,SWAC,Prairie View A&M University
Sports,Basketball,NCAA,Division I,SWAC,Southern University
Sports,Basketball,NCAA,Division I,SWAC,Texas Southern University
Sports,Basketball,NCAA,Division I,WAC,Abilene Christian University
Sports,Basketball,NCAA,Division I,WAC,California Baptist University (CBU)
Sports,Basketball,NCAA,Division I,WAC,Grand Canyon University
Sports,Basketball,NCAA,Division I,WAC,Seattle University
Sports,Basketball,NCAA,Division I,WAC,Southern Utah University
Sports,Basketball,NCAA,Division I,WAC,Tarleton State University (Tarleton)
Sports,Basketball,NCAA,Division I,WAC,Utah Tech University[h]
Sports,Basketball,NCAA,Division I,WAC,Utah Valley University
Sports,Basketball,NCAA,Division I,WAC,University of Texas at Arlington (UT Arlington)
Sports,Basketball,NCAA,Division I,West Coast,Gonzaga University
Sports,Basketball,NCAA,Division I,West Coast,Loyola Marymount University
Sports,Basketball,NCAA,Division I,West Coast,Oregon State University
Sports,Basketball,NCAA,Division I,West Coast,University of the Pacific
Sports,Basketball,NCAA,Division I,West Coast,Pepperdine University
Sports,Basketball,NCAA,Division I,West Coast,University of Portland
Sports,Basketball,NCAA,Division I,West Coast,Saint Mary's College of California (Saint Mary's)
Sports,Basketball,NCAA,Division I,West Coast,University of San Diego
Sports,Basketball,NCAA,Division I,West Coast,University of San Francisco
Sports,Basketball,NCAA,Division I,West Coast,Santa Clara University
Sports,Basketball,NCAA,Division I,West Coast,Washington State University
