Chart,Sport,League,Division,Conference,School
Sports,Basketball,NCAA,Division III,Northern Athletics Collegiate Conference,Illinois Institute of Technology
Sports,Basketball,NCAA,Division III,Northern Athletics Collegiate Conference,Lakeland University
Sports,Basketball,NCAA,Division III,Northern Athletics Collegiate Conference,Marian University
Sports,Basketball,NCAA,Division III,Northern Athletics Collegiate Conference,Milwaukee School of Engineering
Sports,Basketball,NCAA,Division III,Northern Athletics Collegiate Conference,Rockford University
Sports,Basketball,NCAA,Division III,Northern Athletics Collegiate Conference,St. Norbert College
Sports,Basketball,NCAA,Division III,Northern Athletics Collegiate Conference,Wisconsin Lutheran College
Sports,Basketball,NCAA,Division III,Northwest Conference,George Fox University
Sports,Basketball,NCAA,Division III,Northwest Conference,Lewis & Clark College
Sports,Basketball,NCAA,Division III,Northwest Conference,Linfield University
Sports,Basketball,NCAA,Division III,Northwest Conference,Pacific Lutheran University
Sports,Basketball,NCAA,Division III,Northwest Conference,Pacific University
Sports,Basketball,NCAA,Division III,Northwest Conference,University of Puget Sound
Sports,Basketball,NCAA,Division III,Northwest Conference,Whitman College
Sports,Basketball,NCAA,Division III,Northwest Conference,Whitworth University
Sports,Basketball,NCAA,Division III,Northwest Conference,Willamette University
Sports,Basketball,NCAA,Division III,Ohio Athletic Conference,Baldwin Wallace University
Sports,Basketball,NCAA,Division III,Ohio Athletic Conference,Capital University
Sports,Basketball,NCAA,Division III,Ohio Athletic Conference,Heidelberg University
Sports,Basketball,NCAA,Division III,Ohio Athletic Conference,Marietta College
Sports,Basketball,NCAA,Division III,Ohio Athletic Conference,University of Mount Union
Sports,Basketball,NCAA,Division III,Ohio Athletic Conference,Muskingum University
Sports,Basketball,NCAA,Division III,Ohio Athletic Conference,Ohio Northern University
Sports,Basketball,NCAA,Division III,Ohio Athletic Conference,Otterbein University
Sports,Basketball,NCAA,Division III,Ohio Athletic Conference,Wilmington College
Sports,Basketball,NCAA,Division III,Ohio Athletic Conference,John Carroll University
Sports,Basketball,NCAA,Division III,Old Dominion Athletic Conference,Averett University
Sports,Basketball,NCAA,Division III,Old Dominion Athletic Conference,Bridgewater College
Sports,Basketball,NCAA,Division III,Old Dominion Athletic Conference,Eastern Mennonite University
Sports,Basketball,NCAA,Division III,Old Dominion Athletic Conference,Ferrum College[a]
Sports,Basketball,NCAA,Division III,Old Dominion Athletic Conference,Guilford College
